,state,population_over_15,married_males_last_year,married_females_last_year,divorced_males_last_year,divorced_females_last_year,state,year,married_last_year,divorced_last_year
171,Iowa,2503309,23271,22335,9307.0,8442.0,19,2014,45606,17749.0
172,Kansas,2299146,23581,22583,11298.0,12551.0,20,2014,46164,23849.0
173,Kentucky,3569190,31707,31624,18443.0,20024.0,21,2014,63331,38467.0
174,Louisiana,3716740,33118,34601,14921.0,13115.0,22,2014,67719,28036.0
175,Maine,1119690,8119,9452,5794.0,6351.0,23,2014,17571,12145.0
176,Maryland,4854750,37268,37313,15866.0,20692.0,24,2014,74581,36558.0
177,Massachusetts,5604860,39328,41865,17492.0,20553.0,25,2014,81193,38045.0
178,Michigan,8089154,58783,58777,33626.0,38065.0,26,2014,117560,71691.0
179,Minnesota,4386934,38760,37565,16395.0,17268.0,27,2014,76325,33663.0
180,Mississippi,2383607,23634,23904,12898.0,12439.0,28,2014,47538,25337.0
181,Missouri,4909194,40879,42345,23188.0,21249.0,29,2014,83224,44437.0
182,Montana,835422,6874,6920,5098.0,2883.0,30,2014,13794,7981.0
183,Nebraska,1488730,13186,12600,6276.0,6745.0,31,2014,25786,13021.0
184,Nevada,2287984,24387,24277,11263.0,11885.0,32,2014,48664,23148.0
185,New Hampshire,1111188,10085,10549,4953.0,4999.0,33,2014,20634,9952.0
186,New Jersey,7282046,56111,51523,23170.0,20600.0,34,2014,107634,43770.0
187,New Mexico,1667854,14629,14310,6939.0,8202.0,35,2014,28939,15141.0
188,New York,16248072,130009,122086,46042.0,53686.0,36,2014,252095,99728.0
189,North Carolina,8029973,72682,71350,30164.0,37370.0,37,2014,144032,67534.0
190,North Dakota,598037,5724,5406,1532.0,2237.0,38,2014,11130,3769.0
191,Ohio,9422595,73606,73853,35740.0,42121.0,39,2014,147459,77861.0
192,Oklahoma,3080740,35447,35415,17458.0,19562.0,40,2014,70862,37020.0
193,Oregon,3258094,29489,30256,13920.0,17270.0,41,2014,59745,31190.0
194,Pennsylvania,10562571,82673,81673,36609.0,39266.0,42,2014,164346,75875.0
195,Rhode Island,882072,7021,6394,2763.0,3930.0,44,2014,13415,6693.0
196,South Carolina,3929135,36933,34266,16757.0,18236.0,45,2014,71199,34993.0
197,South Dakota,675764,7666,7159,2388.0,2590.0,46,2014,14825,4978.0
198,Tennessee,5309334,50754,51188,28092.0,26212.0,47,2014,101942,54304.0
199,Texas,21001527,218175,207999,101128.0,108770.0,48,2014,426174,209898.0
200,Vermont,528064,3914,4045,1716.0,1813.0,50,2014,7959,3529.0
201,Utah,2178253,26403,28787,10331.0,13021.0,49,2014,55190,23352.0
202,Virginia,6772134,64669,65654,26776.0,30206.0,51,2014,130323,56982.0
203,Washington,5722255,55652,57086,24995.0,25068.0,53,2014,112738,50063.0
204,West Virginia,1532355,13599,13274,7126.0,9702.0,54,2014,26873,16828.0
205,Wisconsin,4682400,37178,39045,17262.0,18660.0,55,2014,76223,35922.0
206,Wyoming,469219,5860,6098,1625.0,1874.0,56,2014,11958,3499.0
207,Puerto Rico,2921604,11455,12219,8872.0,9763.0,72,2014,23674,18635.0
208,Mississippi,2388147,20072,20205,10318.0,12333.0,28,2015,40277,22651.0
209,Missouri,4931458,43685,43654,20854.0,23773.0,29,2015,87339,44627.0
210,Montana,844438,7635,7841,3004.0,3963.0,30,2015,15476,6967.0
211,Nebraska,1501794,13803,13075,6034.0,7276.0,31,2015,26878,13310.0
212,Nevada,2332895,24851,22691,14625.0,14352.0,32,2015,47542,28977.0
213,New Hampshire,1117604,8276,8149,3945.0,4385.0,33,2015,16425,8330.0
214,New Jersey,7313818,50796,48402,21362.0,24139.0,34,2015,99198,45501.0
215,New Mexico,1668989,14341,15129,6532.0,7887.0,35,2015,29470,14419.0
216,New York,16312417,127600,122700,43830.0,56573.0,36,2015,250300,100403.0
217,North Carolina,8146843,78664,75551,33701.0,33197.0,37,2015,154215,66898.0
218,North Dakota,611660,7084,6655,2487.0,2116.0,38,2015,13739,4603.0
219,Ohio,9451449,77465,77458,42509.0,40742.0,39,2015,154923,83251.0
220,Oklahoma,3108452,31484,34041,17849.0,18328.0,40,2015,65525,36177.0
221,Oregon,3316989,30209,30667,13276.0,15787.0,41,2015,60876,29063.0
222,Pennsylvania,10589716,88319,86266,35486.0,39881.0,42,2015,174585,75367.0
223,Rhode Island,882671,6694,5739,1883.0,2520.0,44,2015,12433,4403.0
224,South Carolina,3994825,36864,35024,17155.0,18025.0,45,2015,71888,35180.0
225,South Dakota,682834,6370,7219,1921.0,3139.0,46,2015,13589,5060.0
226,Tennessee,5363257,52118,52028,23189.0,25696.0,47,2015,104146,48885.0
